,Tweets,id,len,date,source,likes,retweets
0,https://t.co/DutxclyZw9,1207508280207011841,23,2019-12-19 03:49:43,Twitter for iPhone,9984,3620
1,THANK YOU! #KAG https://t.co/CltmJQdm1t,1207434958588932096,39,2019-12-18 22:58:21,Twitter for iPhone,65364,16109
2,"Thank you Michigan, I am on my way. See everybody soon! #KAG https://t.co/GP9SbH67CN",1207434514433069057,84,2019-12-18 22:56:35,Twitter for iPhone,74708,16546
3,"SUCH ATROCIOUS LIES BY THE RADICAL LEFT, DO NOTHING DEMOCRATS. THIS IS AN ASSAULT ON AMERICA, AND AN ASSAULT ON THE REPUBLICAN PARTY!!!!",1207355923573989376,136,2019-12-18 17:44:18,Twitter for iPhone,168003,39622
4,....won’t convict and remove the President - Then the House should not be Impeaching the President in the first pla… https://t.co/ZFQUYF5tSY,1207339288406503426,140,2019-12-18 16:38:12,Twitter for iPhone,55549,13651
5,"In the end here, nothing happened. We don’t approach anything like the egregious conduct that should be necessary b… https://t.co/a38uFMqFpQ",1207339280504414212,140,2019-12-18 16:38:10,Twitter for iPhone,71494,16903
6,"“The evidence has to be overwhelming, and it is not. It’s not even close.” Ken Starr, Former Independent Counsel",1207333331777605635,112,2019-12-18 16:14:32,Twitter for iPhone,86318,20185
7,RT @GreggJarrett: https://t.co/Sg6qb97V0J,1207328863430295553,41,2019-12-18 15:56:46,Twitter for iPhone,0,7423
8,RT @GreggJarrett: IG Horowitz hearing exposes deliberate FBI misconduct in investigating Trump campaign 👇https://t.co/XljdjMImaw,1207328815581671425,129,2019-12-18 15:56:35,Twitter for iPhone,0,7866
9,RT @GreggJarrett: Sen. Hawley: 2016 Collusion Was Between the DNC and the FBI https://t.co/9asoCNagDD,1207328697931485189,101,2019-12-18 15:56:07,Twitter for iPhone,0,7699
10,RT @GreggJarrett: Dems 'weaponized' impeachment for politics 👇 https://t.co/8Ajps2HdNS,1207328567585099777,87,2019-12-18 15:55:36,Twitter for iPhone,0,8019
11,RT @GreggJarrett: Here’s Why The Justice Department Must Investigate Joe Biden’s “Quid Pro Quo” https://t.co/EknlC5mWnX,1207328373791428608,119,2019-12-18 15:54:50,Twitter for iPhone,0,8228
12,RT @AlanDersh: The open ended criteria for impeachment proposed by the Democratic experts are dangerous and place Congress above the law. T…,1207328262814388224,140,2019-12-18 15:54:23,Twitter for iPhone,0,6397
13,"RT @AlanDersh: The Republicans should have challenged Professor Feldman’s assertion that “abuse of office""  is a constitutional basis for i…",1207327882789498880,140,2019-12-18 15:52:52,Twitter for iPhone,0,14166
14,RT @AlanDersh: The Democratic witnesses have wrongly said that Congress cannot move forward because President Trump has resisted Congressio…,1207327810639073280,140,2019-12-18 15:52:35,Twitter for iPhone,0,6517
15,RT @AlanDersh: https://t.co/ezgRPTt4z1,1207327675460833281,38,2019-12-18 15:52:03,Twitter for iPhone,0,4534
16,"RT @AlanDersh: Impeaching Trump for Obstructing Congress Would Harm Checks and Balances
https://t.co/z2iSckLStO",1207327548247609344,111,2019-12-18 15:51:33,Twitter for iPhone,0,5273
17,"RT @AlanDersh: Two House articles of impeachment fail to meet constitutional standards. 

https://t.co/jv0S3p0QzQ",1207327444119801856,113,2019-12-18 15:51:08,Twitter for iPhone,0,11008
18,Will go down in history as worst Speaker. Already thrown out once! https://t.co/Q6N2EVlp9j,1207327108508377088,90,2019-12-18 15:49:48,Twitter for iPhone,52006,14097
19,RT @GreggJarrett: Comey: FISA Abuse Not as Bad as My Other Screw Ups https://t.co/njd2Ck4uMg,1207326677325488128,92,2019-12-18 15:48:05,Twitter for iPhone,0,6502
